Track	Artist	URL
Lemon Tree	Fool's Garden	http://www.last.fm/music/Fool%27s+Garden/_/Lemon+Tree
Nowy świat	Varius Manx i Robert Janson	http://www.last.fm/music/Varius+Manx+i+Robert+Janson/_/Nowy+%C5%9Bwiat
Itaka	Varius Manx i Robert Janson	http://www.last.fm/music/Varius+Manx+i+Robert+Janson/_/Itaka
Boulevard of Broken Dreams	Green Day	http://www.last.fm/music/Green+Day/_/Boulevard+of+Broken+Dreams
21 Guns	Green Day	http://www.last.fm/music/Green+Day/_/21+Guns
Bad Boy	P.O.D.	http://www.last.fm/music/P.O.D./_/Bad+Boy
West Coast Rock Steady	P.O.D.	http://www.last.fm/music/P.O.D./_/West+Coast+Rock+Steady
Rise Against	P.O.D.	http://www.last.fm/music/P.O.D./_/Rise+Against
Lovely Day - Studio Rio Version	Bill Withers	http://www.last.fm/music/Bill+Withers/_/Lovely+Day+-+Studio+Rio+Version
She Will Be Loved	Maroon 5	http://www.last.fm/music/Maroon+5/_/She+Will+Be+Loved
All My Life	Foo Fighters	http://www.last.fm/music/Foo+Fighters/_/All+My+Life
Sold! To the Nice Rich Man	The Welcome Wagon	http://www.last.fm/music/The+Welcome+Wagon/_/Sold!+To+the+Nice+Rich+Man
The Start of Something	Voxtrot	http://www.last.fm/music/Voxtrot/_/The+Start+of+Something
A Thousand Miles	Vanessa Carlton	http://www.last.fm/music/Vanessa+Carlton/_/A+Thousand+Miles
Combat Songs & Traffic Fights	Timid Tiger	http://www.last.fm/music/Timid+Tiger/_/Combat+Songs+&+Traffic+Fights
I Hate Everything About You	Three Days Grace	http://www.last.fm/music/Three+Days+Grace/_/I+Hate+Everything+About+You
Animal I Have Become	Three Days Grace	http://www.last.fm/music/Three+Days+Grace/_/Animal+I+Have+Become
The Henney Buggy Band	Sufjan Stevens	http://www.last.fm/music/Sufjan+Stevens/_/The+Henney+Buggy+Band
Shape Of My Heart	Sting	http://www.last.fm/music/Sting/_/Shape+Of+My+Heart
Englishman in New York	Sting	http://www.last.fm/music/Sting/_/Englishman+in+New+York
Broken Stereo - Acoustic Version	Sean Fournier	http://www.last.fm/music/Sean+Fournier/_/Broken+Stereo+-+Acoustic+Version
Under the Bridge	Red Hot Chili Peppers	http://www.last.fm/music/Red+Hot+Chili+Peppers/_/Under+the+Bridge
Trudno nie wierzyc w nic	Raz, Dwa, Trzy	http://www.last.fm/music/Raz,+Dwa,+Trzy/_/Trudno+nie+wierzyc+w+nic
Creep	Radiohead	http://www.last.fm/music/Radiohead/_/Creep
Message in a Bottle	The Police	http://www.last.fm/music/The+Police/_/Message+in+a+Bottle
Happy	Pharrell Williams	http://www.last.fm/music/Pharrell+Williams/_/Happy
Ain't It Fun	Paramore	http://www.last.fm/music/Paramore/_/Ain%27t+It+Fun
Final Fantasy VI 'Terra Haute' OC ReMix	The OneUps	http://www.last.fm/music/The+OneUps/_/Final+Fantasy+VI+%27Terra+Haute%27+OC+ReMix
Wonderwall	Oasis	http://www.last.fm/music/Oasis/_/Wonderwall
Nocna Zmiana	Mona	http://www.last.fm/music/Mona/_/Nocna+Zmiana
Sila	Mona	http://www.last.fm/music/Mona/_/Sila
This Love	Maroon 5	http://www.last.fm/music/Maroon+5/_/This+Love
Modlitwa Dziewczynska	Marika	http://www.last.fm/music/Marika/_/Modlitwa+Dziewczynska
Pod Papugami	Maleo Reggae Rockers	http://www.last.fm/music/Maleo+Reggae+Rockers/_/Pod+Papugami
Breaking the Habit	Linkin Park	http://www.last.fm/music/Linkin+Park/_/Breaking+the+Habit
